Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator Cores,Rmax,Rpeak,Effeciency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
207,,"HP SL390s/170s  G7, Xeon X5675 6C 3.06 GHz, Gigabit Ethernet",Retail,Hewlett-Packard,United States,2011,Industry,11904,0,75649,145705,51.92,0,0,,,Cluster,Xeon X5675 6C 3.06GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),HP SL390s/170s  G7,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
208,Rossmann,"HP Cluster Platform 4000 DL165 G7 Cluster, Opteron 12-core 2.1 Ghz, 10G",Purdue University,Hewlett-Packard,United States,2011,Academic,11064,0,75425.8,95961.6,78.6,0,0,,,Cluster,Opteron 6172 12C 2.10GHz,AMD x86_64,2100,Linux,Linux,None,12,Opteron 12 Core,HP Cluster Platform 4000 DL165 G7 Cluster,HP Cluster Platform 4000,Gigabit Ethernet,10G Ethernet,North America,Americas
209,,"Cluster Platform 3000 BL280c G6, Xeon X55xx 2.8Ghz, Infiniband",University of Minnesota/Supercomputing Institute,Hewlett-Packard,United States,2011,Academic,8568,0,75425.8,95961.6,78.6,0,0,,,Cluster,Xeon X5560 4C 2.80GHz,Intel EM64T,2800,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),Cluster Platform 3000 BL280c G6,HP Cluster Platform 3000BL,Infiniband,Infiniband,North America,Americas
210,,"HP DL160 Cluster G6, Xeon E5620 4C 2.40 GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2011,Industry,15316,0,75335,147033.6,51.24,0,0,,,Cluster,Xeon E5620 4C 2.40GHz,Intel EM64T,2400,Linux,Linux,None,4,Xeon E56xx (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
211,,"HP DL160 Cluster G6, Xeon E5620 4C 2.40 GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2011,Industry,15316,0,75335,147033.6,51.24,0,0,,,Cluster,Xeon E5620 4C 2.40GHz,Intel EM64T,2400,Linux,Linux,None,4,Xeon E56xx (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
212,CSIRO GPU Cluster,"Supermicro Xeon Cluster, E5462 2.8 Ghz, Nvidia Tesla s2050 GPU, Infiniband",CSIRO,Xenon Systems,Australia,2010,Government,4608,3584,75295,143300,52.54,685567,0,105.94,710.73,Cluster,Xeon E5462 4C 2.80GHz,Intel Core,2800,Linux,Linux,NVIDIA 2050,4,"Xeon 5400-series ""Harpertown""",Supermicro Xeon Cluster,Supermicro Xeon Cluster,Infiniband,Infiniband,Australia and New Zealand,Oceania
213,,"iDataPlex DX360M3, Xeon X5670 6C 2.93 GHz, Infiniband QDR",IBM Development Engineering,IBM,United States,2011,Industry,7248,0,74967,84947,88.25,0,0,226.5,330.98,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
214,,"HP DL160 Cluster G6, Xeon X5650 2.66 GHz, GigE",Telecommunication Company,Hewlett-Packard,Japan,2011,Industry,13620,0,74742.3,144916.8,51.58,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
215,,"Cluster Platform 3000 BL460c, Xeon E5450 4C 3.00 GHz, Gigabit Ethernet",IT Service Provider (D),Hewlett-Packard,United States,2009,Industry,11940,0,74380,143280,51.91,0,0,,,Cluster,Xeon E5450 4C 3.00GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",Cluster Platform 3000 BL460c,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
216,,"Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE",Arrow Enterprise Computing Solutions,Hewlett-Packard,United States,2011,Industry,13542,0,74336.7,144086.9,51.59,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
217,,"xSeries x3550M3 Cluster, Xeon X5650 6C 2.66 GHz, Infiniband QDR",Electronics,IBM,United States,2011,Industry,7800,0,73829,82992,88.96,0,0,241.8,305.33,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3550M3 Cluster,IBM xSeries,Infiniband,Infiniband QDR,North America,Americas
218,,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, Infiniband",Energy Company (A),IBM,Italy,2011,Industry,10224,0,73639,109028.74,67.54,0,0,335.48,219.5,Cluster,Xeon X5550 4C 2.66GHz,Intel EM64T,2660,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Infiniband,Infiniband,Southern Europe,Europe
219,,"xSeries x3550M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",Information Service,IBM,France,2011,Industry,13068,0,73639,139044,52.96,0,0,405.11,181.78,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3550M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
220,Discover,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",NASA/Goddard Space Flight Center,IBM,United States,2011,Research,8192,0,73639,91750,80.26,0,0,286.72,256.83,Cluster,Xeon X5560 4C 2.80GHz,Intel EM64T,2800,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),xSeries iDataPlex,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
221,,"Hitachi SR16000 Model XM1/108, Power7 3.3Ghz, Infiniband",Yukawa Institute for Theoretical Physics (YITP),Hitachi,Japan,2011,Academic,3456,0,73350,91238.4,80.39,1045440,0,129.6,565.97,MPP,POWER7 8C 3.30GHz,Power,3300,AIX,Unix,None,8,POWER7,Hitachi SR16000 Model XM1/108,Hitachi SR16000,Infiniband,Infiniband,Eastern Asia,Asia
222,,"Cluster Platform SL160z, Xeon X5550 4C 2.66 GHz, Gigabit Ethernet",Logistic Services (E),Hewlett-Packard,United States,2011,Industry,13312,0,73139,141639.68,51.64,0,0,,,Cluster,Xeon X5550 4C 2.66GHz,Intel EM64T,2660,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),Cluster Platform SL160z,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
223,,"Power 575, p6 4.7 GHz, Infiniband",National Centers for Environment Prediction,IBM,United States,2009,Research,4992,0,73060,93849.6,77.85,0,0,797,91.67,MPP,POWER6 2C 4.70GHz,Power,4700,AIX,Unix,None,2,POWER6,pSeries 575,IBM pSeries,Infiniband,Infiniband,North America,Americas
224,,"Power 575, p6 4.7 GHz, Infiniband",National Centers for Environment Prediction,IBM,United States,2008,Research,4992,0,73060,93849.6,77.85,0,0,797,91.67,MPP,POWER6 2C 4.70GHz,Power,4700,AIX,Unix,None,2,POWER6,pSeries 575,IBM pSeries,Infiniband,Infiniband,North America,Americas
225,,eServer Blue Gene Solution,"Rensselaer Polytechnic Institute, Computational Center for Nanotechnology Innovations",IBM,United States,2007,Academic,32768,0,73032,91750,79.6,884735,0,358,204,MPP,PowerPC 440 2C 700MHz,Power,700,CNK/SLES 9,Mixed,None,2,PowerPC 440,BlueGene/L,IBM BlueGene,Proprietary Network,Proprietary,North America,Americas
226,Coastal,"Dell DCS Xanadu 2.5, Xeon E55xx 2.4Ghz, Infiniband DDR",Lawrence Livermore National Laboratory,Dell,United States,2010,Research,8464,0,72410,81254,89.12,1670352,0,,,Cluster,Xeon E5530 4C 2.40GHz,Intel EM64T,2400,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),Dell DCS Xanadu 2.5,Dell Xanadu,Infiniband,Infiniband DDR,North America,Americas
227,,"BladeCenter HS22 Cluster, WM Xeon 6-core, Xeon X5650 6C 2.66 GHz, Infiniband",Electronics,IBM,United States,2011,Industry,7632,0,72239,81204,88.96,0,0,203.88,354.32,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,North America,Americas
228,Magerit,"BladeCenter PS702 Express, Power7 3.3GHz, Infiniband",CeSViMa - Centro de Supercomputacin y Visualizacin de Madrid,IBM,Spain,2011,Academic,3920,0,72030,103488,69.6,0,0,154,467.73,Cluster,POWER7 8C 3.30GHz,Power,3300,Linux,Linux,None,8,POWER7,"BladeCenter PS702 Express, POWER7",IBM BladeCenter,Infiniband,Infiniband,Southern Europe,Europe
229,,"iDataPlex DX360M3, Xeon 2.66, Infiniband",RQCHP/Calcul Quebec/Compute Canada Universit de Montral,IBM,Canada,2011,Academic,7560,0,71557.5,80438.4,88.96,0,0,197.79,361.79,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
230,,"BlueGene/P, PowerPC 450 4C 850 MHz, Proprietary",Rice University,IBM,United States,2011,Academic,24576,0,71440,83558,85.5,0,0,189,377.99,MPP,PowerPC 450 4C 850MHz,Power,850,CNK/SLES 9,Mixed,None,4,PowerPC 450,BlueGene/P,IBM BlueGene,Proprietary Network,Proprietary,North America,Americas
231,,"xSeries iDataPlex, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",Semiconductor Company,IBM,United States,2011,Industry,12648,0,71272,134574.72,52.96,0,0,330.91,215.38,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries iDataPlex,IBM iDataPlex,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
232,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",IT Service Provider (D),Hewlett-Packard,United States,2011,Industry,12930,0,71146,137575.2,51.71,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
233,,"Power 775, Power7 3.836 GHz",IBM Poughkeepsie Benchmarking Center,IBM,United States,2011,Vendor,2816,0,70760,86395,81.9,907776,0,172.38,410.49,MPP,POWER7 8C 3.83GHz,Power,3830,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom,North America,Americas
234,Formosa 4,"ASUS ESC4000, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA 2070",National Center for High Performance Computing,Asus,Taiwan,2011,Academic,4752,3696,70430,148336,47.48,666624,0,91.98,765.71,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2070,6,Xeon X56xx (Westmere-EP),ASUS ESC4000,Asus Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
235,Dawson2,"HP ProLiant SL390s G7 Xeon X5650, Nvidia M2070, Infiniband QDR","University of California, Los Angeles",Hewlett-Packard,United States,2011,Academic,5184,4032,70280,160577.28,43.77,717910,0,96.03,731.85,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2070,6,Xeon X56xx (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
236,,"HP DL160 Cluster G6, Xeon E5620 2.4 GHz, GigE",Web Content Provider,Hewlett-Packard,United States,2011,Industry,14208,0,70187.6,136396.8,51.46,0,0,,,Cluster,Xeon E5620 4C 2.40GHz,Intel EM64T,2400,Linux,Linux,None,4,Xeon E56xx (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
237,,"SGI Altix ICE 8200 Enhanced LX, Xeon X5560 quad core 2.8 GHz",US Army Research Laboratory (ARL),SGI,United States,2009,Research,6656,0,70000,74547.2,93.9,1501752,0,350,200,MPP,Xeon X5560 4C 2.80GHz,Intel EM64T,2800,SLES10 + SGI ProPack 5,Linux,None,4,Xeon X55xx (Nehalem-EP),SGI Altix ICE 8200EX,SGI Altix,Infiniband,Infiniband,North America,Americas
238,,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",Banking (M),IBM,United States,2011,Industry,12420,0,69987.03,145562.4,48.08,0,0,395.37,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
239,,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",Banking (M),IBM,United States,2011,Industry,12420,0,69987.03,145562.4,48.08,0,0,395.37,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
240,,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",Banking (M),IBM,United States,2011,Industry,12420,0,69987.03,145562.4,48.08,0,0,395.37,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
241,,"Cluster Platform 3000 BL460c G7, Xeon X5660 2.80 GHz, 10G Ethernet",Gaming Company,Hewlett-Packard,United States,2011,Industry,8640,0,69576,96768,71.9,0,0,,,Cluster,Xeon X5660 6C 2.80GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,10G Ethernet,North America,Americas
242,,"Cluster Platform 3000 BL460c G7, Xeon X5660 2.80 GHz, 10G Ethernet",Gaming Company,Hewlett-Packard,United States,2011,Industry,8640,0,69576,96768,71.9,0,0,,,Cluster,Xeon X5660 6C 2.80GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,10G Ethernet,North America,Americas
243,,"Cluster Platform 3000 BL460c G7, Xeon X5660 2.80 GHz, 10G Ethernet",Gaming Company,Hewlett-Packard,United States,2011,Industry,8640,0,69576,96768,71.9,0,0,,,Cluster,Xeon X5660 6C 2.80GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,10G Ethernet,North America,Americas
244,,"Cluster Platform SL160z, Xeon X5550 4C 2.66 GHz, Gigabit Ethernet",Logistic Services (E),Hewlett-Packard,United States,2011,Industry,12512,0,68905,133127.68,51.76,0,0,,,Cluster,Xeon X5550 4C 2.66GHz,Intel EM64T,2660,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),Cluster Platform SL160z,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
245,,"Cluster Platform 3000 BL280c G6, Xeon X5650 2.67Ghz, Infiniband QDR","Carrillo Business Technologies, Inc",Hewlett-Packard,United States,2011,Industry,8328,0,68829.2,88609.9,77.68,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL280c G6,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,North America,Americas
246,,"Cluster Platform 3000 BL460c G7, Xeon X5670 6C 2.93 GHz, 10G Ethernet",IT Service Provider,Hewlett-Packard,United Kingdom,2011,Industry,7968,0,68638,93385,73.5,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,10G Ethernet,Northern Europe,Europe
247,,"Cluster Platform SL170s/160z, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",Web Company (F),Hewlett-Packard,United States,2011,Industry,12444,0,68600,132404,51.81,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000SL SL170s/160z,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
248,,"Cluster Platform SL170s/160z, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",Web Company (F),Hewlett-Packard,United States,2011,Industry,12444,0,68600,132404,51.81,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000SL SL170s/160z,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
249,,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Engineering Company,IBM,China,2011,Industry,12156,0,68499,142468,48.08,0,0,386.97,177.01,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
250,,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Engineering Company,IBM,China,2011,Industry,12156,0,68499,142468,48.08,0,0,386.97,177.01,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
251,,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Engineering Company,IBM,China,2011,Industry,12156,0,68499,142468,48.08,0,0,386.97,177.01,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
252,,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",Engineering Company,IBM,China,2011,Industry,12156,0,68499,142468,48.08,0,0,386.97,177.01,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
253,Abe,"PowerEdge 1955, 2.33 GHz, Infiniband, Windows Server 2008/Red Hat Enterprise Linux 4",NCSA,Dell,United States,2007,Academic,9600,0,68480,89587.2,76.44,1008384,0,,,Cluster,Xeon 53xx (Clovertown) 4C 2.33GHz,Intel Core,2333,Linux,Linux,None,4,"Xeon 5300-series ""Clovertown""",PowerEdge 1955,Dell PowerEdge Cluster,Infiniband,Infiniband SDR,North America,Americas
254,Hrothgar,"Poweredge Cluster, Xeon X5660 2.8Ghz, Infiniband DDR",Texas Tech University,Dell,United States,2010,Academic,7524,0,68270,84538,80.76,1270976,0,,,Cluster,Xeon X5660 6C 2.80GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),PowerEdge R410 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband DDR,North America,Americas
255,,"BladeCenter HS22 Cluster (WM), Xeon L5640 6C 2.26 GHz, Gigabit Ethernet",Financial Services (H),IBM,United States,2011,Industry,13548,0,68196,122474,55.68,0,0,293.46,232.39,Cluster,Xeon L5640 6C 2.26GHz,Intel EM64T,2260,Linux,Linux,None,6,Xeon L56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
256,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband QDR, NVIDIA 2070",Forschungszentrum Juelich (FZJ),IBM,Germany,2011,Research,4880,3416,68005,141236.96,48.15,0,0,76.25,891.87,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2070,6,Xeon X56xx (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,Western Europe,Europe
